ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
36,76555.98,78057.39,78968.6,79848.945,80179.69,80870.81,81640.65,82890.3,26281.168,26815.85,27247.932,27162.805,27508.076,27272.29,28089.102,28050.824,10286.277,10588.88,10356.058,10413.711,10493.511,10518.392,10576.354,10656.721,4263.6797,4384.7095,4462.358,4591.3506,4472.482,4463.028,4421.724,4405.1763
37,63968.86,65658.76,66632.49,67586.41,67819.96,68421.95,69061.76,70087.12,18600.914,19302.428,19713.678,19680.822,19954.832,19805.926,20310.904,20389.623,5953.3037,6251.589,6200.7593,6203.7603,6248.4844,6314.084,6368.8604,6404.391,1938.5819,2095.8123,2152.7573,2215.4062,2188.7043,2192.462,2146.936,2079.8987
38,68654.48,70281.25,71236.51,72200.68,72490.16,73135.27,73820.78,74969.836,21122.824,21812.174,22259.305,22208.225,22510.855,22354.67,22980.941,23021.904,7248.848,7515.977,7434.9785,7467.5493,7521.9683,7593.46,7627.079,7679.571,2533.4788,2667.2803,2760.0974,2848.109,2801.9792,2797.2522,2754.6394,2692.4578
39,71863.51,73428.484,74395.805,75332.39,75663.85,76347.45,77042.64,78261.38,23058.332,23706.064,24157.818,24086.375,24424.506,24261.12,24967.25,24958.62,8323.839,8575.028,8445.3545,8503.53,8573.184,8646.758,8672.032,8741.063,3091.123,3199.82,3313.1938,3419.3013,3354.1758,3333.8845,3301.145,3250.6409
40,74045.04,75557.0,76511.5,77426.695,77780.55,78484.11,79196.43,80454.23,24479.135,25087.668,25530.291,25446.379,25796.295,25633.117,26390.375,26375.146,9163.922,9427.602,9241.013,9311.432,9386.856,9443.864,9485.36,9564.141,3570.9746,3668.5999,3784.8188,3897.1907,3817.7886,3794.2998,3760.627,3720.5276
