ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
56,68000.44,69695.56,70698.98,71699.73,72003.414,72659.62,73342.96,74482.88,20724.46,21456.203,21931.127,21902.996,22215.18,22068.742,22685.951,22731.475,7029.125,7314.1367,7258.328,7298.56,7357.841,7434.994,7469.333,7519.305,2419.628,2564.8464,2664.278,2754.1575,2715.9749,2714.5146,2671.8977,2607.8323
57,71423.234,73032.664,74034.36,74996.71,75339.26,76032.51,76724.82,77939.45,22768.613,23447.996,23921.943,23866.484,24212.217,24058.049,24757.512,24751.287,8154.035,8415.544,8307.273,8372.018,8446.636,8525.545,8550.339,8617.917,2995.0776,3111.7979,3233.2039,3341.765,3282.7239,3264.191,3232.423,3179.9468
58,73748.27,75287.16,76266.164,77199.86,77563.86,78274.97,78984.875,80241.836,24271.418,24902.902,25361.924,25288.879,25645.713,25491.33,26244.492,26231.977,9036.462,9306.133,9135.365,9211.812,9291.284,9352.81,9394.009,9472.022,3494.5947,3596.3643,3721.029,3835.2314,3761.466,3738.3035,3706.2168,3663.842
59,75307.555,76838.36,77782.29,78694.98,79055.83,79758.99,80502.46,81751.875,25368.064,25944.219,26394.457,26323.21,26676.068,26490.146,27273.463,27253.094,9694.468,9991.127,9786.196,9854.225,9940.285,9981.394,10030.827,10113.658,3892.4265,4002.088,4109.191,4226.771,4133.9077,4120.3223,4090.634,4058.8896
60,76370.625,77887.805,78813.31,79707.86,80046.93,80743.55,81514.62,82761.62,26142.957,26689.684,27132.898,27057.57,27408.883,27178.55,27994.014,27959.088,10188.403,10497.338,10276.715,10339.482,10424.278,10451.7705,10509.649,10589.609,4200.779,4325.0625,4410.4707,4542.6836,4427.7207,4417.839,4380.2285,4361.505
