ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
31,64321.16,65970.9,66916.22,67852.66,68077.625,68674.14,69315.664,70346.95,18796.584,19476.664,19874.412,19830.434,20099.113,19945.988,20455.66,20532.414,6054.8354,6342.518,6280.613,6280.1704,6322.137,6385.519,6439.566,6476.1074,1986.4901,2138.3015,2192.8005,2254.683,2224.4683,2226.94,2181.481,2114.8918
32,68893.45,70492.53,71429.04,72379.484,72663.445,73304.47,73990.79,75143.15,21269.777,21941.643,22377.68,22317.967,22616.871,22457.018,23086.568,23125.947,7330.7236,7590.1997,7499.3345,7528.845,7581.2974,7650.6406,7684.0483,7737.4688,2576.4778,2705.421,2795.3186,2882.427,2833.327,2827.4124,2784.7563,2723.312
33,72024.43,73571.34,74525.33,75452.28,75779.4,76459.54,77155.72,78376.01,23164.982,23799.775,24242.814,24165.371,24500.508,24333.727,25042.217,25032.771,8386.888,8633.4375,8495.521,8551.085,8618.801,8690.384,8715.866,8785.433,3127.0994,3232.3772,3342.436,3447.4949,3380.0828,3359.1711,3326.0227,3276.2822
34,74153.52,75654.39,76599.45,77507.72,77857.71,78558.555,79271.695,80529.9,24555.467,25154.703,25590.926,25502.895,25850.162,25683.783,26442.473,26426.324,9211.194,9471.979,9279.324,9347.378,9421.231,9476.596,9518.211,9597.278,3599.4749,3695.1763,3808.0547,3919.626,3838.135,3814.5369,3780.2432,3740.9912
35,75581.98,77087.695,78009.74,78903.234,79251.94,79948.28,80693.086,81944.02,25567.506,26123.055,26557.293,26473.875,26819.52,26623.826,27410.996,27386.473,9825.69,10114.838,9893.968,9955.449,10036.135,10073.3545,10123.225,10206.21,3974.164,4079.9255,4176.8545,4292.261,4193.087,4179.5024,4146.4805,4117.581
