ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
46,73941.6,75463.5,76426.75,77348.484,77705.945,78412.125,79123.62,80381.086,24406.541,25023.498,25472.008,25391.955,25744.34,25584.229,26340.068,26325.773,9119.187,9385.268,9204.322,9276.913,9353.792,9412.372,9453.762,9532.2705,3544.089,3643.3394,3762.6177,3875.6873,3798.264,3774.8838,3741.7827,3700.8838
47,75438.445,76958.09,77891.9,78795.51,79150.62,79850.516,80594.67,81844.74,25462.994,26029.895,26472.762,26395.805,26745.307,26554.66,27339.861,27317.443,9756.638,10050.2295,9837.868,9902.878,9986.434,10025.694,10075.337,10158.227,3931.0579,4039.1694,4141.5664,4258.2153,4162.3374,4148.762,4117.495,4087.1016
48,76458.98,77969.26,78888.14,79775.97,80111.09,80805.08,81575.586,82823.79,26208.773,26750.13,27188.24,27108.303,27456.785,27223.795,28039.95,28003.33,10234.814,10541.123,10314.785,10375.195,10457.629,10483.884,10541.805,10621.963,4230.5347,4353.5205,4435.3193,4566.0615,4449.237,4439.596,4400.202,4382.507
49,63312.062,65070.934,66095.31,67080.8,67329.85,67942.02,68578.58,69592.805,18239.805,18977.035,19411.514,19398.705,19682.266,19541.018,20037.256,20119.756,5767.67,6083.5127,6051.995,6060.882,6110.4795,6180.0376,6236.2734,6269.966,1852.2379,2018.2102,2078.863,2142.549,2122.2368,2128.3413,2082.6406,2014.8611
50,68208.78,69883.305,70871.88,71861.15,72160.46,72813.13,73497.16,74640.01,20850.752,21569.852,22036.322,22000.99,22310.244,22160.744,22780.852,22824.88,7098.4336,7378.2153,7314.671,7352.5747,7410.392,7485.7734,7519.862,7570.6343,2455.2932,2597.1619,2694.7021,2784.0808,2743.396,2740.893,2698.2961,2634.81
