ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
1,66385.83,67754.17,68516.484,69343.47,69514.664,70078.76,70730.19,71795.58,19970.965,20491.635,20795.584,20681.627,20916.393,20737.04,21273.924,21340.357,6678.1494,6884.922,6748.0234,6723.3574,6747.0874,6796.2803,6846.7305,6889.562,2290.6636,2398.975,2432.2776,2486.6145,2434.6934,2429.3196,2383.831,2320.5745
2,70293.18,71699.83,72514.61,73381.01,73629.234,74246.31,74937.61,76108.84,22145.627,22692.096,23053.229,22940.408,23215.146,23032.793,23681.066,23712.227,7828.0537,8028.8926,7873.1875,7881.9033,7920.854,7976.91,8009.5625,8068.446,2843.9932,2935.9368,3003.1157,3082.5007,3015.3208,3002.5537,2959.1638,2902.5244
3,72967.77,74388.445,75256.28,76124.32,76423.64,77083.734,77785.61,79015.07,23798.281,24341.58,24727.256,24612.764,24928.336,24741.428,25462.953,25449.414,8767.576,8976.265,8785.572,8823.539,8878.667,8938.227,8965.165,9037.942,3347.8254,3426.856,3513.3704,3610.5857,3529.1533,3504.7769,3468.7659,3423.899
4,74789.85,76211.44,77096.28,77962.164,78288.17,78973.41,79691.0,80952.25,25007.436,25541.613,25936.193,25822.35,26152.885,25968.057,26734.635,26713.645,9496.024,9731.264,9500.091,9552.658,9616.345,9662.118,9704.51,9785.313,3773.1782,3852.4807,3943.05,4048.5056,3954.5144,3930.2812,3892.0156,3857.8848
5,76013.35,77465.766,78348.61,79210.72,79539.67,80225.46,80971.63,82226.086,25883.992,26397.557,26802.344,26698.336,27031.422,26821.502,27613.844,27583.955,10038.744,10307.1455,10058.492,10108.068,10179.454,10210.43,10260.979,10344.441,4108.5396,4202.653,4281.212,4391.5635,4282.539,4268.7144,4230.3813,4206.029
