ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
16,74514.1,75973.08,76885.04,77769.62,78106.266,78798.19,79513.96,80773.72,24810.68,25375.303,25788.805,25686.484,26024.494,25847.58,26610.871,26591.832,9370.981,9619.174,9405.297,9464.917,9533.197,9583.116,9625.155,9705.195,3696.5022,3784.05,3884.8555,3993.2595,3904.73,3880.7786,3844.2932,3807.9172
17,75826.336,77304.01,78204.555,79080.42,79418.01,80108.35,80854.03,82106.81,25746.336,26279.6,26697.797,26602.934,26941.617,26737.703,27527.934,27500.186,9945.351,10224.169,9987.962,10042.93,10118.457,10152.161,10202.419,10285.648,4049.374,4149.432,4236.3115,4349.092,4244.326,4230.651,4194.6167,4168.286
18,76721.36,78204.49,79101.56,79968.945,80292.086,80978.484,81747.05,82999.4,26404.97,26926.256,27347.066,27252.812,27592.38,27352.1,28169.8,28129.154,10375.227,10669.463,10425.053,10477.655,10552.884,10575.375,10633.383,10714.105,4321.334,4437.703,4507.807,4633.5117,4511.157,4501.8413,4457.4033,4442.8403
19,65080.805,66636.19,67517.43,68414.94,68620.81,69205.43,69850.66,70894.625,19223.17,19851.44,20217.592,20148.785,20405.52,20243.025,20762.777,20835.502,6278.4814,6540.277,6452.7974,6444.2466,6479.9155,6538.3076,6590.896,6629.6904,2093.6763,2231.9275,2280.0203,2339.7393,2301.7551,2301.3994,2256.0142,2190.5105
20,69408.58,70942.914,71836.95,72757.14,73028.62,73660.836,74348.95,75508.34,21589.088,22219.453,22629.895,22551.137,22841.604,22673.646,23310.195,23346.344,7510.1685,7750.9307,7637.604,7660.0303,7707.9,7772.4897,7805.5234,7860.9507,2671.7737,2788.8757,2871.5422,2956.2935,2900.6733,2892.2166,2849.3855,2789.6123
