ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
101,75499.734,76986.65,77899.24,78791.625,79139.92,79836.82,80580.98,81832.086,25507.576,26050.373,26478.031,26392.984,26737.48,26544.984,27329.982,27308.668,9786.012,10064.402,9841.353,9900.985,9981.211,10019.044,10068.695,10152.136,3949.369,4048.0894,4143.755,4256.9897,4159.1143,4144.4834,4113.4844,4083.2405
102,76500.39,77988.67,78893.18,79773.336,80103.85,80795.87,81566.516,82815.31,26239.656,26764.578,27191.957,27106.332,27451.375,27217.006,28033.11,27997.29,10256.716,10551.608,10317.353,10373.807,10453.857,10479.062,10537.013,10617.542,4244.622,4360.3535,4436.997,4565.152,4446.7974,4436.327,4397.221,4379.6333
103,63592.81,65200.523,66128.89,67062.47,67278.04,67874.664,68511.23,69529.71,18393.578,19048.469,19430.314,19388.535,19653.602,19504.01,19999.307,20085.467,5846.4434,6120.2173,6061.1978,6055.7617,6096.052,6161.4224,6217.996,6252.9946,1888.6782,2035.0511,2083.4075,2139.9517,2115.3296,2119.4966,2073.8274,2006.7003
104,68399.32,69971.04,70894.664,71848.85,72125.59,72767.91,73452.04,74597.89,20966.748,21623.11,22050.215,21993.518,22289.11,22133.61,22753.059,22799.818,7162.38,7408.3623,7322.1265,7348.4453,7398.6934,7470.7783,7505.041,7556.84,2488.4019,2612.4304,2698.739,2781.789,2737.2827,2733.0894,2690.5432,2627.5483
105,71691.73,73218.8,74165.914,75096.61,75420.734,76104.2,76797.375,78015.48,22944.932,23569.078,24007.57,23931.725,24265.34,24104.158,24805.268,24800.125,8257.125,8490.118,8357.209,8410.902,8478.184,8552.959,8577.93,8646.804,3053.2383,3152.7964,3262.0469,3364.6243,3300.4792,3279.8801,3247.9585,3196.4658
