ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
11,75917.09,77382.94,78275.02,79144.24,79477.65,80165.766,80911.7,82165.27,25813.055,26337.055,26748.863,26649.602,26985.598,26778.74,27570.018,27541.203,9990.477,10264.525,10022.351,10074.746,10148.282,10180.666,10231.067,10314.403,4077.9126,4175.2637,4258.1733,4369.8184,4262.9844,4249.2466,4212.094,4186.723
12,76782.87,78258.164,79149.65,80012.17,80332.44,81017.11,81785.17,83038.6,26451.15,26966.78,27383.07,27285.34,27622.727,27380.844,28198.818,28157.416,10408.695,10699.143,10450.252,10500.866,10574.376,10595.964,10653.986,10734.836,4343.145,4457.3374,4524.484,4648.8765,4525.2217,4515.901,4470.3384,4456.52
13,65491.598,66991.555,67836.56,68712.32,68907.5,69485.7,70132.9,71183.67,19456.52,20053.516,20401.16,20318.482,20568.488,20400.787,20925.957,20996.62,6402.158,6648.136,6545.8477,6532.5225,6564.5874,6620.1646,6672.0317,6712.073,2153.9048,2283.682,2327.6458,2385.9,2343.6064,2341.691,2296.3052,2231.4578
14,69687.06,71183.48,72053.42,72956.94,73221.305,73848.76,74537.875,75701.016,21763.188,22368.89,22764.541,22675.229,22960.92,22788.492,23428.766,23463.283,7608.905,7838.205,7712.0513,7730.3735,7775.5767,7837.5244,7870.4077,7926.922,2724.8083,2834.6797,2912.8926,2996.1345,2936.9233,2927.1023,2884.1306,2825.3088
15,72559.1,74038.82,74945.6,75839.66,76151.5,76820.18,77519.664,78745.09,23522.219,24108.518,24520.36,24422.303,24746.758,24568.58,25284.635,25272.727,8600.273,8827.733,8660.831,8706.9,8767.729,8832.5625,8858.822,8930.199,3250.0935,3341.8914,3439.4722,3540.4424,3465.2092,3442.3005,3407.622,3360.5657
