ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
6,76848.13,78314.5,79199.85,80057.2,80374.414,81057.26,81824.8,83079.414,26500.232,27009.443,27420.754,27319.275,27654.328,27410.79,28229.008,28186.896,10444.441,10730.456,10476.708,10525.153,10596.826,10617.446,10675.479,10756.467,4366.509,4478.121,4542.039,4664.987,4539.9487,4530.5923,4483.86,4470.8354
7,65925.79,67363.73,68169.23,69021.55,69205.22,69776.56,70425.83,71483.72,19705.21,20266.568,20593.588,20495.889,20738.598,20565.293,21096.162,21164.73,6535.0,6762.7837,6644.0967,6625.426,6653.5264,6706.045,6757.201,6798.5854,2219.329,2339.2192,2378.2961,2434.7737,2387.8464,2384.263,2338.8447,2274.742
8,69981.4,71435.45,72279.06,73164.69,73421.336,74043.76,74733.92,75901.01,21948.281,22526.191,22905.47,22804.842,23085.307,22908.094,23552.273,23585.111,7714.5815,7930.683,7790.4595,7804.2344,7846.4766,7905.584,7938.3413,7996.001,2782.0312,2883.5852,2956.6719,3038.1392,2975.0845,2963.8284,2920.6724,2862.892
9,72757.51,74209.41,75097.58,75979.07,76284.94,76949.44,77650.1,78877.48,23655.92,24221.998,24621.389,24515.426,24835.639,24653.23,25371.963,25359.242,8681.03,8899.857,8721.58,8763.806,8821.911,8884.194,8910.776,8982.833,3297.1284,3383.0154,3475.388,3574.6045,3496.3835,3472.7576,3437.4485,3391.4412
10,74647.95,76089.375,76988.37,77863.93,78195.46,78884.1,79600.78,80861.24,24906.02,25456.305,25860.785,25752.941,26087.352,25906.582,26671.488,26651.486,9431.367,9673.646,9451.491,9507.751,9573.833,9621.74,9663.946,9744.353,3733.448,3817.2258,3913.1694,4020.1992,3929.0254,3904.9407,3867.602,3832.309
