ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
76,74498.21,75911.914,76798.54,77672.31,78001.984,78691.86,79406.66,80667.65,24799.385,25332.807,25728.709,25618.111,25951.188,25774.77,26536.143,26519.72,9363.854,9590.685,9366.885,9421.006,9485.988,9535.636,9577.555,9658.034,3692.1514,3766.763,3861.3716,3965.7007,3876.5898,3851.1802,3815.7473,3778.6187
77,75815.56,77262.484,78145.555,79014.58,79348.31,80037.31,80782.75,82035.984,25738.426,26249.453,26655.143,26554.893,26890.297,26687.078,27476.049,27450.623,9940.018,10203.043,9959.33,10010.278,10083.773,10117.072,10167.209,10250.968,4046.009,4135.947,4218.1562,4327.852,4222.6934,4207.8276,4173.1826,4146.1104
78,76714.055,78176.27,79061.305,79924.36,80244.91,80930.695,81699.92,82951.914,26399.498,26905.0,27316.982,27219.316,27556.965,27316.625,28134.012,28095.006,10371.269,10653.913,10404.055,10453.809,10527.879,10550.012,10608.045,10689.077,4318.7603,4427.4404,4493.943,4617.7617,4494.8374,4484.549,4441.527,4426.3765
79,65031.96,66449.0,67249.875,68107.555,68285.09,68858.15,69501.484,70543.75,19195.557,19745.523,20064.426,19974.354,20215.783,20048.557,20561.996,20640.992,6263.908,6484.087,6375.667,6354.0933,6381.9985,6438.082,6491.761,6530.917,2086.624,2205.1582,2240.803,2292.8845,2253.6829,2252.4453,2207.0967,2141.77
80,69375.47,70816.19,71655.42,72550.68,72802.94,73427.91,74115.19,75274.39,21568.455,22141.025,22517.418,22423.43,22702.506,22531.885,23164.072,23204.967,7498.5117,7705.357,7575.7485,7588.0215,7629.406,7692.628,7726.0166,7781.6104,2665.5398,2765.094,2837.3508,2915.6777,2858.847,2849.6614,2807.0225,2746.9348
