ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
1,883.054,892.7168,881.62836,882.3418,878.76843,856.6544,875.2,890.2949,307.92816,318.73767,339.73303,318.815,315.78607,325.4498,294.2341,305.99673,107.1419,109.27347,106.95446,92.58789,101.9284,98.17238,109.07758,105.73864,2.1391473,4.109722,0.7197638,5.642578,1.9486319,2.238644,2.9568405,4.055673
2,1150.1028,1175.0345,1150.3202,1155.0085,1160.293,1133.2804,1143.8857,1171.0149,417.3493,434.21597,462.93164,439.9837,444.44223,451.11218,418.7686,430.85886,154.60231,159.50696,155.3022,137.82983,147.31406,142.92076,156.52966,149.09189,3.4829726,4.9412346,1.2867515,8.560778,3.1058013,3.0984073,4.8055534,5.809737
3,1405.1183,1444.295,1409.8715,1420.2952,1426.5737,1397.0522,1403.3752,1428.2296,531.96826,555.2412,590.7967,564.8144,572.9747,575.0519,545.20404,560.7647,205.35332,211.53685,208.61623,187.29381,194.67691,189.0731,208.0641,191.75555,5.208443,6.0079236,2.1810217,11.869474,4.9186845,4.208205,6.387374,7.55008
4,1638.386,1683.4058,1644.6348,1654.7174,1661.2216,1632.2152,1632.0044,1658.8182,646.48944,674.241,710.7353,687.0159,695.41797,687.94885,665.49457,681.39685,254.91331,261.09335,262.08035,238.49709,238.91566,236.80865,256.44116,236.25626,6.4314766,7.164045,3.1813688,14.82457,6.455778,5.1953535,8.008244,9.133763
5,1835.0688,1887.9584,1844.3726,1851.474,1858.2578,1827.1182,1824.7831,1847.9447,745.0096,779.7824,819.12024,794.56805,798.40356,784.7312,769.55164,785.1767,298.89413,307.74103,309.7112,283.44974,279.51907,280.8952,298.6143,279.44037,7.673119,8.446062,4.1027036,16.889456,7.5665474,6.081455,9.39928,11.026616
