ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
96,1933.0858,1992.0339,1952.2625,1960.5922,1964.5468,1930.1996,1929.0096,1951.8168,791.4312,833.1901,880.06506,851.272,854.12524,837.77155,826.829,843.778,317.54578,331.56888,333.61383,307.46985,302.45203,306.54922,321.08856,305.38324,8.161867,9.012933,4.702381,18.071234,8.077204,6.647771,10.0896,12.285538
97,709.72534,725.4008,732.38354,740.3296,738.6373,721.61456,743.46027,757.6616,236.141,248.95575,272.26932,254.7843,252.77002,266.44138,234.65163,245.49599,77.538345,80.68433,80.13562,68.91138,80.2693,76.7342,86.48506,85.65226,1.3558027,3.4538383,0.3836606,4.255774,1.2823025,1.7680738,2.1646647,3.1034887
98,986.70087,1019.1666,1009.3264,1021.21484,1031.0022,1006.9923,1020.5945,1048.4575,343.5883,363.66327,395.1838,375.7666,382.24832,393.61542,358.6417,369.20944,123.21795,129.76643,126.35565,112.28727,124.79453,120.53356,132.81105,129.04298,2.6071765,4.1748953,0.83790135,7.1452203,2.2920492,2.605775,3.9800787,4.849686
99,1258.805,1307.1658,1284.533,1302.846,1314.8068,1287.0374,1296.0729,1321.6049,461.64178,487.85037,527.7267,504.25793,515.05786,522.6623,489.6623,503.72913,175.21002,183.10652,180.25693,161.90622,173.12987,166.8106,186.06023,171.57306,4.406517,5.2145247,1.6541827,10.624313,4.1448126,3.7156932,5.615998,6.643404
100,1514.1437,1567.4989,1539.0056,1557.0002,1568.6772,1540.8953,1542.9717,1570.8163,585.17,614.23645,654.5593,634.23804,645.1403,642.651,617.4347,632.07666,228.16751,235.05428,236.67339,215.68398,219.3545,215.97136,237.13902,216.72781,5.728091,6.4626484,2.5666893,13.880837,5.8084717,4.744471,7.3786273,8.210292
