ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
56,932.43774,975.46014,975.71045,992.77313,1005.74866,983.524,997.64685,1025.295,319.90182,344.60736,379.4818,362.4951,370.42316,383.12357,347.67593,357.81152,113.23746,121.805954,119.74327,107.08991,120.57964,116.56936,128.52077,125.46461,2.3245406,3.9721909,0.7485546,6.8429446,2.139986,2.522878,3.82898,4.6750956
57,1208.9988,1267.9741,1254.0428,1277.3954,1292.6436,1266.2703,1275.775,1301.1511,438.17075,469.10724,512.7731,491.40695,503.79788,512.9369,479.30133,492.9257,165.30455,175.29019,173.5504,156.56444,168.9903,162.77492,181.99654,167.9004,4.133168,4.9872627,1.5468434,10.348123,3.9927456,3.6311862,5.4701204,6.4778776
58,1471.1345,1533.9569,1512.9159,1535.5786,1550.1182,1523.4543,1525.911,1553.7667,564.3107,597.211,641.0144,622.856,635.22266,634.168,608.3307,622.61426,219.1831,227.72542,230.50151,210.78839,215.54152,212.11197,233.54915,213.0699,5.486714,6.2529807,2.4367907,13.66734,5.675603,4.6679397,7.260497,8.035003
59,1695.8956,1765.2928,1737.5027,1754.7324,1769.2932,1740.3551,1740.8889,1763.4894,675.3255,713.9157,759.4871,741.5872,747.3222,738.90405,722.4433,736.28174,268.39728,278.61838,283.02753,259.59778,258.9988,259.12643,278.65576,258.58456,6.913645,7.7749486,3.2222586,16.123913,6.9699492,5.529505,8.799172,10.02622
60,1892.5477,1960.0614,1927.2035,1939.3707,1946.0342,1912.2478,1911.9982,1934.1808,770.59894,815.3415,865.81824,839.17633,842.7637,827.87115,816.9747,833.3414,307.86935,323.63245,327.0112,301.9382,297.86435,301.8741,316.71112,300.78946,7.9305086,8.860702,4.440008,17.920856,7.956319,6.5039754,9.962472,12.088787
