ID,20_784,20_800,20_818,20_835,20_851,20_868,20_881,20_894,25_784,25_800,25_818,25_835,25_851,25_868,25_881,25_894,30_784,30_800,30_818,30_835,30_851,30_868,30_881,30_894,35_784,35_800,35_818,35_835,35_851,35_868,35_881,35_894
81,1322.0385,1363.0668,1333.4468,1347.4426,1356.4474,1327.5966,1335.663,1361.0201,491.78458,514.98816,552.0351,527.01184,536.4197,541.8036,510.0018,524.67413,188.04865,194.4998,191.18016,171.40524,181.0279,174.84676,194.07288,178.8333,4.7529726,5.5389333,1.8429604,11.102585,4.432318,3.8882966,5.90017,6.9707828
82,1568.205,1615.0195,1580.5259,1594.3181,1603.3535,1574.7653,1576.037,1603.5131,611.6492,638.6152,676.38855,654.2272,663.8237,659.2794,635.1742,650.3075,239.65448,245.60065,246.58081,224.30338,226.57974,223.5785,244.19618,223.85912,6.0329995,6.7541738,2.7916596,14.246711,6.053932,4.901877,7.609644,8.550568
83,1777.1287,1832.2106,1792.6693,1802.7083,1812.1392,1781.4268,1780.6747,1803.606,715.6619,749.53674,789.98627,767.58246,771.73254,760.416,744.67035,759.3921,285.8968,294.38202,296.7033,271.31705,268.7856,269.3259,288.0,268.39487,7.3521614,8.145139,3.6568754,16.503777,7.2593956,5.779382,9.079169,10.507298
84,1957.898,2013.2197,1970.1604,1976.6586,1979.2173,1944.7666,1942.8097,1966.0405,804.35077,845.1231,890.35236,860.5276,863.1572,845.86176,834.8465,852.2282,323.5838,336.86047,338.36444,311.69196,306.10416,310.3825,324.6717,309.10074,8.306017,9.116155,4.895982,18.185112,8.174259,6.767083,10.194662,12.441891
85,756.47156,768.3801,769.1442,774.4125,771.8313,753.2011,774.32715,788.8144,255.0028,266.43652,288.55713,269.8507,267.41187,280.07172,248.32497,259.3996,85.2265,87.77415,86.494774,74.38239,85.21853,81.58129,91.63385,90.24382,1.559257,3.6119957,0.4548809,4.5824637,1.4309723,1.8718497,2.3442895,3.3225608
